1,035$a,074$a,086$a,264$c,856,955$b,245$a,245$b
1112665,(OCoLC)680278258,0624-B-05 (online),I 19.42/4:00-4108,2000,http://purl.access.gpo.gov/GPO/LPS40756;Address at time of PURL creationhttps://pubs.usgs.gov/wri/wri004108/pdf/wrir_00-4108.pdf,20200108,"Field tests of polyethylene-membrane diffusion samplers for characterizing volatile organic compounds in stream-bottom sediments, Nyanza Chemical Waste Dump Superfund site, Ashland, Massachusetts /",
1112668,(OCoLC)985367341,0624-B-05 (online),I 19.42/4:00-4106,2000,https://purl.fdlp.gov/GPO/gpo130361;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2000/wri004106/pdf/wrir.00-4106.pdf,20200108,"Ground-water quality in alluvial aquifers in the Eastern Iowa Basins, Iowa and Minnesota /",
1112669,(OCoLC)878977436,0624-B-05 (online),I 19.42/4:00-4021,2000,https://purl.fdlp.gov/GPO/gpo130362;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2000/wri00-4021/pdf/wri00-4021.pdf,20200108,"Concentrations of Escherichia coli in streams in the upper Wabash River Watershed in Indiana, June-September 1998 /",
1112672,(OCoLC)966434999,0624-B-05 (online),I 19.42/4:00-4195,2000,https://purl.fdlp.gov/GPO/gpo130365;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri004195,20200108,"Geologic framework and hydrogeologic characteristics of the Edwards Aquifer outcrop, Medina County, Texas /",
1112673,(OCoLC)966435073,0624-B-05 (online),I 19.42/4:02-4070,2002,https://purl.fdlp.gov/GPO/gpo130374;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2002/4070/report.pdf,20200108,"Relation between geomorphic stability and the density of large shrubs on the flood plain of the Clark Fork of the Columbia River in the Deer Lodge Valley, Montana /",
1112674,(OCoLC)1135324100,0473-A-01 (online),EP 2.2:C 61/3/FINAL,2014,https://purl.fdlp.gov/GPO/gpo130434;Address at time of PURL creationhttps://www.epa.gov/sites/production/files/2016-04/documents/ow-climate-change-adaptation-plan.pdf,20200108,Office of Water climate change adaptation implementation plan.,
1112677,(OCoLC)985369113,0624-B-05 (online),I 19.42/4:01-4266 S,2002,https://purl.fdlp.gov/GPO/gpo130376;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2001/4266s/report.pdf,20200108,Huracán Mitch :,caudal de creciente en tramos de ríos seleccionados en Honduras /
1112716,(OCoLC)1105381853,0624-B-05 (online),I 19.42/4:90-4004,1990,https://purl.fdlp.gov/GPO/gpo130092;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1990/4004/report.pdf,20200108,"Geophysical and chemical investigations of ground water at five industrial or waste-disposal sites in Logan Township, Gloucester County, New Jersey, 1983-87 /",
1112739,(OCoLC)681874569,0624-B-05 (online),I 19.42/4:00-4263,2001,https://purl.fdlp.gov/GPO/gpo130000;Address at time of PURL creationhttps://pubs.usgs.gov/wri/wri00-4263/pdf/wrir00-4263.pdf,20200109,"Summary of water-quality data, October 1987 through September 1997, for Fountain and Monument creeks, El Paso and Pueblo counties, Colorado /",
1112753,(OCoLC)1135462003,0646-R (online),I 29.89:2008/056,2008,http://purl.fdlp.gov/GPO/gpo79585;Address at time of PURL creationhttps://irma.nps.gov/DataStore/DownloadFile/151198,20200109,Vegetation monitoring protocol :,Great Lakes inventory & monitoring network /
1112796,(OCoLC)966434967,0624-B-05 (online),I 19.42/4:00-4290,2001,https://purl.fdlp.gov/GPO/gpo130510;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2000/4290/report.pdf,20200110,"Evaluation of strontium isotopes as a geochemical tracer in the Middle Fork Mineral Creek basin, southwestern Colorado /",
1112797,(OCoLC)985370618,0624-B-05 (online),I 19.42/4:76-115,1977,https://purl.fdlp.gov/GPO/gpo130516;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1976/0115/report.pdf,20200110,"Water resources of the Maunabo Valley, Puerto Rico /",
1112798,(OCoLC)963251379,0624-B-05 (online),I 19.42/4:76-68,1977,https://purl.fdlp.gov/GPO/gpo130517;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1976/0068/report.pdf,20200110,"Ground water in the Lajas Valley, Puerto Rico /",
1112799,(OCoLC)985370603,0624-B-05 (online),I 19.42/4:75-41,1976,https://purl.fdlp.gov/GPO/gpo130518;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1975/0041/report.pdf,20200110,"Ground water in the San Juan metropolitan area, Puerto Rico /",
1112800,(OCoLC)985370583,0624-B-05 (online),I 19.42/4:73-18,1973,https://purl.fdlp.gov/GPO/gpo130519;Address at time of PURL creationhttps://pubs.usgs.gov/wri/wri18-73/pdf/wri18-73.pdf,20200110,Effects of ground-water development on the proposed Palmetto Bend dam and reservoir in southeast Texas /,
1112808,(OCoLC)985370687,0624-B-05 (online),I 19.42/4:77-55,1977,https://purl.fdlp.gov/GPO/gpo130523;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1977/0055/report.pdf,20200110,"Water-quality study of Tulpehocken Creek, Berks County, Pennsylvania, prior to Impoundment of Blue Marsh Lake /",
1112810,(OCoLC)1135477968,0431-I-01 (online),EP 1.2:SCI 2/14,2019,https://purl.fdlp.gov/GPO/gpo130235;Address at time of PURL creationhttps://yosemite.epa.gov/sab/sabproduct.nsf/LookupWebReportsLastMonthBOARD/B3635EA455B6DD978525848000535980/{dollar}File/EPA-SAB-19-004.pdf,20200110,SAB review of the science supporting EPA planned regulatory and deregulatory actions.,
1112819,(OCoLC)49208062,0624-B-05 (online),I 19.42/4:00-4188,2000,https://purl.fdlp.gov/GPO/LPS24819;Address at time of PURL creationhttp://pubs.water.usgs.gov/wri004188/,20200110,"Hydrogeologic and geochemical characteristics of the Ogallala and White River aquifers, Cheyenne, Wyoming /",
1112834,(OCoLC)1135486467,0646-R (online),I 29.89:2009/131,2009,http://purl.fdlp.gov/GPO/gpo130591;Address at time of PURL creationhttps://irma.nps.gov/Datastore/DownloadFile/153014,20200110,Rainbow Bridge National Monument :,geologic resource evaluation report /
1112840,(OCoLC)1135486818,0646-R (online),I 29.89:2009/121,2009,http://purl.fdlp.gov/GPO/gpo130593;Address at time of PURL creationhttps://irma.nps.gov/Datastore/DownloadFile/151519,20200110,Inventory of marine and estuarine benthic macroinvertebrates for nine Southeast Coast network parks /,
1112879,(OCoLC)1135493210,0646-R (online),I 29.89:2009/116,2009,http://purl.fdlp.gov/GPO/gpo130619;Address at time of PURL creationhttps://irma.nps.gov/Datastore/DownloadFile/152609,20200110,National Capital Region Network biological stream survey protocol :,"physical habitat, fish, and aquatic macroinvertebrate vital signs /"
1112890,(OCoLC)1135499105,0996-F (online),Y 1.1/7:116-69/PT.1-2,2019,https://purl.fdlp.gov/GPO/gpo130626;Address at time of PURL creationPt. 1https://www.govinfo.gov/content/pkg/CDOC-116hdoc69/pdf/CDOC-116hdoc69-pt1.pdf;Address at time of PURL creationPt. 2https://www.govinfo.gov/content/pkg/CDOC-116hdoc69/pdf/CDOC-116hdoc69-pt2.pdf,20200110,Southwest Coastal Louisiana integrated final feasibility report and environmental impact statement :,"communication from the Assistant Secretary of the Army, Civil Works, the Department of Defense, transmitting the corps' southwest coastal Louisiana integrated final feasibility report and environmental impact statement for April 2016."
1112892,(OCoLC)1135501148,0996-F (online),Y 1.1/7:115-174/PT.1-2,2019,https://purl.fdlp.gov/GPO/gpo130628;Address at time of PURL creationPt. 1https://www.govinfo.gov/content/pkg/CDOC-115hdoc174/pdf/CDOC-115hdoc174-pt1.pdf;Address at time of PURL creationPt. 2https://www.govinfo.gov/content/pkg/CDOC-115hdoc174/pdf/CDOC-115hdoc174-pt2.pdf,20200110,"Sabine Pass to Galveston Bay, Texas coastal storm risk management and ecosystem restoration :","final integrated feasibility report--environmental impact statement : communication from the Assistant Secretary of the Army, Civil Works, Department of Defense, transmitting the Corps' report on Sabine Pass to Galveston Bay, Texas coastal storm risk management and ecosystem restoration : final integrated feasibility report--environmental impact statement for December 7, 2017."
1112893,(OCoLC)1135501317,1008-I (online),Y 1.1/8:116-338,[2019]-,PDF versionhttps://purl.fdlp.gov/GPO/gpo130629;Text versionhttps://purl.fdlp.gov/GPO/gpo130630;Address at time of PURL creationPDF versionhttps://www.govinfo.gov/content/pkg/CRPT-116hrpt338/pdf/CRPT-116hrpt338.pdf;Address at time of PURL creationText versionhttps://www.govinfo.gov/content/pkg/CRPT-116hrpt338/html/CRPT-116hrpt338.htm,20200110,Chesapeake Bay Program Reauthorization Act :,report (to accompany H.R. 1620) (including cost estimate of the Congressional Budget Office).
1112898,(OCoLC)1135758556,1017-C-07 (online),Y 4.F 76/1:116-62,2019,https://purl.fdlp.gov/GPO/gpo130632;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CHRG-116hhrg37705/pdf/CHRG-116hhrg37705.pdf,20200113,Voices leading the next generation on the global climate crisis :,"hearing before the Subcommittee on Europe, Eurasia, Energy, and the Environment of the Committee on Foreign Affairs, House of Representatives, One Hundred Sixteenth Congress, first session, September 18, 2019."
1112903,(OCoLC)1135759574,0646-R (online),I 29.89:2009/126,2009,http://purl.fdlp.gov/GPO/gpo130637;Address at time of PURL creationhttps://irma.nps.gov/Datastore/DownloadFile/425304,20200113,Southeast coast network groundwater monitoring :,protocol development and analysis of existing data /
1112907,(OCoLC)1135760345,0660 (online),I 27.2:AN 1,2019,https://purl.fdlp.gov/GPO/gpo130634;Address at time of PURL creationhttps://www.usbr.gov/mp/nepa/includes/documentShow.php?Doc_ID=40142,20200113,Lower American River Anadromous Fish Habitat Restoration Project: environmental assessment/initial study and proposed mitigated negative declaration.,
1112924,(OCoLC)1135800898,0646-R (online),I 29.89:2009/092,2009,http://purl.fdlp.gov/GPO/gpo130641;Address at time of PURL creationhttps://irma.nps.gov/Datastore/DownloadFile/148517,20200113,Protocol for monitoring environmental contaminants :,Great Lakes inventory and monitoring network /
1112964,(OCoLC)1135804557,0646-R (online),I 29.89:2009/098,2009,http://purl.fdlp.gov/GPO/gpo130676;Address at time of PURL creationhttps://irma.nps.gov/Datastore/DownloadFile/152605,20200113,North coast and cascades network vital signs monitoring report /,
1112981,(OCoLC)966434644,0624-B-05 (online),I 19.42/4:00-4289,2001,https://purl.fdlp.gov/GPO/gpo130511;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2000/4289/report.pdf,20200114,"Streamflow, surface-water quality, and quality of streambed sediments in Little Buck Creek and Little Eagle Creek, Indianapolis, Indiana, 1990-94 /",
1112985,(OCoLC)966434944,0624-B-05 (online),I 19.42/4:01-4237,2001,https://purl.fdlp.gov/GPO/gpo130514;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2001/4237/report.pdf,20200114,"Seepage investigation for Leap, South Ash, Wet Sandy, and Leeds Creeks in the Pine Valley Mountains, Washington County, Utah, 1998 /",
1112986,(OCoLC)680430098,0624-B-05 (online),I 19.42.4:01-4065,2001,https://purl.fdlp.gov/GPO/gpo130515;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2001/4065/wri01-4065.pdf,20200114,"Herbicide use in the management of roadside vegetation, western Oregon, 1999-2000 :",effects on the water quality of nearby streams /
1112991,(OCoLC)985370625,0624-B-05 (online),I 19.42/4:77-107,1977,https://purl.fdlp.gov/GPO/gpo130525;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1977/0107/report.pdf,20200114,"Preliminary digital model of the Arikaree Aquifer in the Sweetwater River Basin, central Wyoming /",
1112994,(OCoLC)985370738,0624-B-05 (online),I 19.42/4:75-37,1976,https://purl.fdlp.gov/GPO/gpo130527;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1975/0037/report.pdf,20200114,"Distribution and movement of zinc and other heavy metals in South San Francisco Bay, California /",
1113001,(OCoLC)985370596,0624-B-05 (online),I 19.42/4:73-10,1973,https://purl.fdlp.gov/GPO/gpo130528;Address at time of PURL creationhttps://pubs.usgs.gov/wri/wri10-73/pdf/wri10-73.pdf,20200114,Artificial-recharge experiments and operations on the southern High Plains of Texas and New Mexico /,
1113003,(OCoLC)985370615,0624-B-05 (online),I 19.42/4:75-3,1975,https://purl.fdlp.gov/GPO/gpo130529;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri753,20200114,"Hydrologic analysis of the valley-fill aquifer, North Platte River Valley, Goshen County, Wyoming /",
1113006,(OCoLC)985370599,0624-B-05 (online),I 19.42/4:73-60,1974,https://purl.fdlp.gov/GPO/gpo130535;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1973/0060/report.pdf,20200114,"Effects of urbanization on floods in the Dallas, Texas metropolitan area /",
1113008,(OCoLC)963251388,0624-B-05 (online),I 19.42/4:76-111,1976,https://purl.fdlp.gov/GPO/gpo130536;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1976/0111/report.pdf,20200114,"Sediment discharge from an area of highway construction, Applemans Run basin, Columbia County, Pennsylvania /",
1113010,(OCoLC)985370353,0624-B-05 (online),I 19.42/4:77-11,1977,https://purl.fdlp.gov/GPO/gpo130537;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1977/0011/report.pdf,20200114,"Artificial-recharge tests in Upper Black Squirrel Creek Basin, Jimmy Camp Valley, and Fountain Valley, El Paso County, Colorado /",
1113012,(OCoLC)1135866077,1008-G (online),Y 1.1/5:116-191,2020,https://purl.fdlp.gov/GPO/gpo130706;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CRPT-116srpt191/pdf/CRPT-116srpt191.pdf,20200114,"To reaffirm the action of the Secretary of the Interior to take land into trust for the benefit of the Santa Ynez Band of Chumash Mission Indians, and for other purposes :",report (to accompany H.R. 317) (including cost estimate of the Congressional Budget Office).
1113013,(OCoLC)985370579,0624-B-05 (online),I 19.42/4:76-53,1976,https://purl.fdlp.gov/GPO/gpo130540;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1976/0053/report.pdf,20200114,"Waterlogging in an alluvial aquifer near Lake Minnequa, Pueblo, Colorado /",
1113015,(OCoLC)985370873,0624-B-05 (online),I 19.42/4:83-4029,1976,https://purl.fdlp.gov/GPO/gpo130541;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri834029,20200114,"Geology and ground-water resources of Camden County, New Jersey /",
1113021,(OCoLC)1135867487,1025-A-03 (online),Y 4.SCI 2:116-24,2020,https://purl.fdlp.gov/GPO/gpo130709;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CHRG-116hhrg36504/pdf/CHRG-116hhrg36504.pdf,20200114,Nature in crisis :,"biodiversity loss and its causes : hearing before the Committee on Science, Space, and Technology, House of Representatives, One Hundred Sixteenth Congress, first session, June 4, 2019."
1113027,(OCoLC)61353009,0624-B-05 (online),I 19.42/4:03-4126,2003,https://purl.fdlp.gov/GPO/LPS45789;Address at time of PURL creationhttp://water.usgs.gov/pubs/wri/wri034126/htdocs/wrir03-4126.html,20200114,Hydrologic resources of Guam /,
1113046,(OCoLC)985370658,0624-B-05 (online),I 19.42/4:77-111,1977,https://purl.fdlp.gov/GPO/gpo130534;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri77111,20200115,"Hydrologic evaluation of the Arikaree Formation near Lusk, Niobrara and Goshen counties, Wyoming /",
1113047,(OCoLC)985370597,0624-B-05 (online),I 19.42/4:76-114,1977,https://purl.fdlp.gov/GPO/gpo130544;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1976/0114/report.pdf,20200115,"Evaporation from seven reservoirs in the Denver water-supply system, central Colorado /",
1113079,(OCoLC)985370736,0624-B-05 (online),I 19.42/4:77-27,1977,https://purl.fdlp.gov/GPO/gpo130550;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1977/0027/report.pdf,20200115,"Low-flow characteristics at gaging stations on the Wisconsin, Fox, and Wolf Rivers, Wisconsin /",
1113084,(OCoLC)624777407,0624-B-05 (online),I 19.42/4:74-45,1974,https://purl.fdlp.gov/GPO/gpo130551;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1974/0045/report.pdf,20200115,Low-flow characteristics of Wisconsin streams at sewage-treatment plants /,
1113099,(OCoLC)1136131989,1008-G (online),Y 1.1/5:116-198,2020,PDF versionhttps://purl.fdlp.gov/GPO/gpo130808;Text versionhttps://purl.fdlp.gov/GPO/gpo130809;Address at time of PURL creationPDF versionhttps://www.govinfo.gov/content/pkg/CRPT-116srpt198/pdf/CRPT-116srpt198.pdf;Addess at time of PURL creationText versionhttps://www.govinfo.gov/content/pkg/CRPT-116srpt198/html/CRPT-116srpt198.htm,20200115,Nexus of Energy and Water for Sustainability Act of 2019 :,report (to accompany S. 2799) (including cost estimate of the Congressional Budget Office).
1113103,(OCoLC)1136134052,1008-I (online),Y 1.1/8:116-374,2020,PDF versionhttps://purl.fdlp.gov/GPO/gpo130820;Text versionhttps://purl.fdlp.gov/GPO/gpo130822;Address at time of PURL creationPDF versionhttps://www.govinfo.gov/content/pkg/CRPT-116hrpt374/pdf/CRPT-116hrpt374.pdf;Address at time of PURL creationText versionhttps://www.govinfo.gov/content/pkg/CRPT-116hrpt374/html/CRPT-116hrpt374.htm,20200115,Yucca House National Monument Expansion Act :,report (to accompany H.R. 1492) (including cost estimate of the Congressional Budget Office).
1113123,(OCoLC)985370741,0624-B-05 (online),I 19.42/4:74-42,1975,https://purl.fdlp.gov/GPO/gpo130552;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1974/0042/report.pdf,20200116,"Water resources of the Toppenish Creek Basin, Yakima Indian reservation, Washington.",
1113124,(OCoLC)985370549,0624-B-05 (online),I 19.42/4:75-42,1976,https://purl.fdlp.gov/GPO/gpo130553;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1975/0042/report.pdf,20200116,"Water resources of the North Coast Limestone area, Puerto Rico /",
1113125,(OCoLC)985370678,0624-B-05 (online),I 19.42/4:77-49,1977,https://purl.fdlp.gov/GPO/gpo130554;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1977/0049/report.pdf,20200116,The use of Galerkin finite-element methods to solve mass-transport equations /,
1113154,(OCoLC)985370723,0624-B-05 (online),I 19.42/4:77-31,1977,https://purl.fdlp.gov/GPO/gpo130724;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1977/0031/report.pdf,20200116,Techniques for estimating magnitude and frequency of floods in Minnesota /,
1113200,(OCoLC)971499176,0624-B (online),I 19.42/4:77-102,1977,https://purl.fdlp.gov/GPO/gpo130725;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri77102,20200117,"Ground-water appraisal of the Pineland Sands area, central Minnesota /",
1113202,(OCoLC)681373538,0624-B-05 (online),I 19.42/4:54-75,1976,https://purl.fdlp.gov/GPO/gpo130727;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1975/0054/report.pdf,20200107,Measurement and prediction of sediment yields in Wisconsin streams /,
1113214,(OCoLC)985370559,0624-B-05 (online),I 19.42/4:77-7,1977,https://purl.fdlp.gov/GPO/gpo130734;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri777,20200117,"Ground-water resources of the alluvial aquifers in northeastern Larimer County, Colorado /",
1113216,(OCoLC)985370594,0624-B-05 (online),I 19.42/4:74-5,1974,https://purl.fdlp.gov/GPO/gpo130735;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1974/0005/report.pdf,20200117,"Evaluation of a proposed connector well, Northeastern DeSoto County, Florida /",
1113218,(OCoLC)985370601,0624-B-05 (online),I 19.42/4:73-3,1973,https://purl.fdlp.gov/GPO/gpo130738;Address at time of PURL creationhttps://pubs.usgs.gov/wri/wri3-73/pdf/wri3-73.pdf,20200117,"Effects of urbanization on floods in the Houston, Texas metropolitan area /",
1113222,(OCoLC)963251298,0624-B-05 (online),I 19.42/4:74-18,1974,https://purl.fdlp.gov/GPO/gpo130739;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri7418,20200117,Availability of ground water in the Branch River basin :,"Providence County, Rhode Island /"
1113226,(OCoLC)681472031,0624-B-05 (online),I 19.42/4:75-63,1976,https://purl.fdlp.gov/GPO/gpo130740;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri7563,20200117,"Preliminary digital model of ground-water flow in the Madison Group, Powder River Basin and adjacent areas, Wyoming, Montana, South Dakota, North Dakota, and Nebraska /",
1113229,(OCoLC)622494583,0624-B (online),I 19.42/4:02-4177,2003,https://purl.fdlp.gov/GPO/LPS41698,20200117,"Occurrence and distribution of dissolved trace elements in the surface waters of the Yakima River Basin, Washington, 1999-2000 /",
1113234,(OCoLC)966434556,0624-B-05 (online),I 19.42/4:76-8,1976,https://purl.fdlp.gov/GPO/gpo130745;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri768,20200117,"Digital model to predict effects of pumping from the Arikaree Aquifer in the Dweyer area, southeastern Wyoming /",
1113245,(OCoLC)1136718377,1008-C-02,Y 1.1/8:116-364/,[2020]-,https://purl.fdlp.gov/GPO/gpo130897;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CRPT-116hrpt364/pdf/CRPT-116hrpt364-pt1.pdf,20200117,PFAS Action Act of 2019 :,report together with dissenting views (to accompany H.R. 535).
1113260,(OCoLC)680160015,0624-B-05 (online),I 19.42/4:74-49,1975,https://purl.fdlp.gov/GPO/gpo130746;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1974/0049/report.pdf,20200121,"Hydraulic characteristics and water-supply potential of the aquifers in the vicinity of the wastewater treatment plant, South Bend, Indiana /",
1113261,(OCoLC)985370485,0624-B-05 (online),I 19.42/4:75-23,1975,https://purl.fdlp.gov/GPO/gpo130748;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri7523,20200121,"Ground water for irrigation in the Viking Basin, West-Central Minnesota /",
1113266,(OCoLC)985370624,0624-B-05 (online),I 19.42/4:75-58,1976,https://purl.fdlp.gov/GPO/gpo130750;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1975/0058/report.pdf,20200121,"Digital model for simulated effects of ground-water pumping in the Hueco Bolson, El Paso area, Texas, New Mexico, and Mexico /",
1113271,(OCoLC)691132357,0624-B-05 (online),I 19.42/4:75-34,1976,https://purl.fdlp.gov/GPO/gpo130917;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1975/0034/report.pdf,20200121,"Floods in New York, 1972 :",with special reference to tropical storm Agnes /
1113293,(OCoLC)1137164078,0520-E-01 (online),HS 5.102:EN 8,[2010],https://purl.fdlp.gov/GPO/gpo130558;Address at time of PURL creationhttps://www.fema.gov/media-library-data/20130726-1739-25045-8733/ehp_strategic_plan_final_approved_6_3_2010.pdf,20200121,FEMA Environmental Planning and Historic Preservation :,"strategic plan, fiscal year 2009-2013."
1113303,(OCoLC)1088412317,0484-E-03 (online),EP 6.58:R 29/3/2018-2,,https://purl.fdlp.gov/GPO/gpo130933;https://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=P100VU5Y.PDF,20200121,How to update a renewable fuel producer facility in OTAQREG.,
1113361,(OCoLC)985370737,0624-B-05 (online),I 19.42/4:77-48,1977,https://purl.fdlp.gov/GPO/gpo130742;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri7748,20200122,Low-flow characteristics of Minnesota streams /,
1113372,(OCoLC)985370581,0624-B-05 (online),I 19.42/4:76-27,1976,https://purl.fdlp.gov/GPO/gpo130912;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1976/0027/report.pdf,20200122,"Operation and maintenance of a deep-well water-level measurement device, the Iron Horse /",
1113377,(OCoLC)985370605,0624-B-05 (online),I 19.42/4:73-43,1973,https://purl.fdlp.gov/GPO/gpo130909;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1973/0043/report.pdf,20200122,"Flood of July 17, 1972 in Gallup, New Mexico /",
1113384,(OCoLC)985370556,0624-B-05 (online),I 19.42/4:74-7,1974,https://purl.fdlp.gov/GPO/gpo131055;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1974/0007/report.pdf,20200122,The quality of surface waters in Texas /,
1113387,(OCoLC)971499183,0624-B (online),I 19.42/4:77-64,1977,https://purl.fdlp.gov/GPO/gpo130888;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1977/0064/report.pdf,20200122,"A digital model of the Floridan aquifer, north of Tampa, Florida /",
1113396,(OCoLC)1137260726,0646-R (online),I 29.89:2008/060,2008,http://purl.fdlp.gov/GPO/gpo79567;Address at time of PURL creationhttps://irma.nps.gov/Datastore/DownloadFile/461406,20200122,Large rivers water quality monitoring protocol :,Great Lakes Inventory and Monitoring Network /
1113410,(OCoLC)1137261554,0646-R (online),I 29.89:2008/063,2008,http://purl.fdlp.gov/GPO/gpo79577;Address at time of PURL creationhttps://irma.nps.gov/DataStore/DownloadFile/153429,20200122,South Florida/Caribbean network vital signs monitoring plan /,
1113413,(OCoLC)1137262207,0646-R (online),I 29.89:2008/068,2008,http://purl.fdlp.gov/GPO/gpo79582;Address at time of PURL creationhttps://irma.nps.gov/DataStore/DownloadFile/151199,20200122,Diatom monitoring protocol :,"National Park Service, Great Lakes Inventory and Monitoring Network /"
1113419,(OCoLC)1137262830,0646-R (online),I 29.89:2008/066,2008,http://purl.fdlp.gov/GPO/gpo79584;Address at time of PURL creationhttps://irma.nps.gov/DataStore/DownloadFile/152599,20200122,Long term monitoring of small glaciers at North Cascades National Park :,a prototype park model for the North Coast and Cascades network /
1113435,(OCoLC)985370728,0624-B-05 (online),I 19.42/4:77-21,1977,https://purl.fdlp.gov/GPO/gpo130906;Address at time of PURL creationhttps://pubs.usgs.gov/wri/wri77-21/pdf/wri77-21.pdf,20200123,Magnitude and frequency of floods in California /,
1113436,(OCoLC)985370734,0624-B-05 (online),I 19.42/4:75-6,1975,https://purl.fdlp.gov/GPO/gpo130905;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1975/0006/report.pdf,20200123,Occurrence of pesticide residues in four streams draining different land-use areas in Pennsylvania /,
1113437,(OCoLC)971499195,0624-B-05 (online),I 19.42/4:77-61,1977,https://purl.fdlp.gov/GPO/gpo130903;Address at time of PURL creationhttps://archive.usgs.gov/archive/sites/sofia.usgs.gov/publications/wri/77-61/wri-77-61.pdf,20200123,"The effect of the Faka Union Canal system on water levels in the Fakahatchee Strand, Collier County, Florida /",
1113438,(OCoLC)985370554,0624-B-05 (online),I 19.42/4:73-50,1973,https://purl.fdlp.gov/GPO/gpo130981;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1973/0050/report.pdf,20200123,Hydrologic and geologic considerations for solid-waste disposal in west-central Florida /,
1113439,(OCoLC)963251384,0624-B-05 (online),I 19.42/4:76-95,1976,https://purl.fdlp.gov/GPO/gpo130900;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1976/0095/report.pdf,20200123,"Basement flooding and foundation damage from water-table rise in the East New York section of Brooklyn, Long Island, New York /",
1113443,(OCoLC)985370727,0624-B-05 (online),I 19.42/4:77-13,1977,https://purl.fdlp.gov/GPO/gpo130899;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1977/0013/report.pdf,20200123,"Experimental study of artificial recharge alternatives in northwest Hillsborough County, Florida /",
1113450,(OCoLC)985370662,0624-B-05 (online),I 19.42/4:73-27,1973,https://purl.fdlp.gov/GPO/gpo130896;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1973/0027/report.pdf,20200123,"Index to U.S. Geological Survey computer files containing daily values for water parameters to September 30, 1971 :",Central Region /
1113454,(OCoLC)946456076,0624-B-05 (online),I 19.42/4:73-46,1974,https://purl.fdlp.gov/GPO/gpo130891;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1973/0046/report.pdf,20200123,"Feasibility of digital water-quality modeling illustrated by application at Barstow, California /",
1113468,(OCoLC)1088412438,0484-E (online),EP 6.52:EN 3/12/2018-2,2018,https://purl.fdlp.gov/GPO/gpo130939;https://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=P100VU6A.PDF,20200123,Updated 3-year engineering review report schedule /,
